author,author_id,comment
Bolon,bolonkuada8,selama ini kan mmg sulit
Gus surdoyo,gus.surdoyo,"ayooo semua masyarakat turun,,ayo gabung dengan ojol semua turun,, mereka yang seragam tidak boleh pukul/bunuh masyarakat tapi jaga masyarakat,,ayo turunkan 10juta masyarakat,,bagi 20 titik demo,, supaya polisi tidak berkumpul satu tempat,, supaya anggota mereka berkurang ,.,,.."
selviiia_,selviiia_,"The Indonesian government is silencing the media because they fear the truth. Our government is sick, stupid, and shameful. Indonesia is being oppressed by its own leaders."
miao😼,pengguna8385,semua Liputan TV auto di Bungkam. jd berita hanya lewat Sosial Media. Biar gk keliatan sama LUAR NEGRI🤣🤣
𝓜ⓞᗰ𝓢Ⓚ𝔦𝔢🐝,cancer.id282,"Mau nya manut terus kek nya, rakyat gk boleh komplain😪"
ottohalu,ottohalu,sinyal jamming
∂σηιмια2628🇮🇩,roemydonimia,"iya bener, barusan sy nonton live demo, lagi panjat pagar DPR tp seketika hilang livenya,,entah knp"
不知道,wwtik.con,P
arfita753,arfita753,Kacamata renang
Beta Pattinama,kkkpattinama,"Itu pake air bertekanan tinggi, pake baju selam lengkap juga gak efek 😅 yg bener pake baju Iron Man..."
🌸,svira25162738,🗿
Hengki Prayoga,hngkypryg,percuma bg tetap kepental liat aja noh
R.Lukman Heryadi,zahrikikim,"akunya banyak tuh si Yohanez,"
euis_ci anjur,euis_we,ini orang selalu ada di mana2
famurastore9,famurastore9,"nah baru bener ini media itu harusnya menyiarkan momen panas negara bukan malah sinetron-sinetron,gosip dan dangdut"
Febryts,febryts,"Gimana perasaan org2 DPR itu ya ..gk ada kah merasa bersalah karna ini semua ulah mereka,gara2 mereka masyarakat harus bentrok sama aparat.🥺🥺"
kade,kadepanakaltu,sampai skrng mungkin menteri atau sbagian dpr blom tau kalo ada demo😁😁krn mereka sibuk rapat dan daprt penghargaan dr pak presiden..😁
zhou ye,zhouye_nita,ya Allah polisi bener2 lu ye di tim pejabat
