author,author_id,comment
doa ibu,muhammadafrizalkwok,"polisi terluka rakyat pun terluka
siapa yg menaggung dosanya🥺🥺🥺"
Dengan Nona,bersama.nona,"gini ges jgnkan aparat polisi-tni ,satpam kalo ada karyawan yg demo didepan perusahaan karena kebijakan perusahaan yg merugikan karyawan pasti dia jg menjaga perusahaan nyaa.. kenapa? karena suruhan atasannya , walaupun satpamnya jg pasti kesal sama kebijakan perusahaan tsb tp ga bisa apa2 karena bekerja disitu+disuruh atasannya"
Ratu mantika,rmmadita,polisi manusia mereka punya keluarga mereka hanya menjalankan tugas nya🙏
Lia Mutia,hurem.sultan87,"polisi jaga keamanan.uang minum makan ngopi dh ditanggung.
para demo cape sakit perjuangin suara rakyat
.ga ada yg ingat makan mnumnya"
fraise,fraise__id,tapi yang ini gimana ka?
tataatrulalaa.,_.juho0n,kalau tugas mereka bukan seperti itu mungkin mereka juga sudah ikut demoo
syafaaashop,inicapaloh,mengkondusifkan???
Aquaserious♒️,gigutang,"Sama-sama berjuang, itu yg banyak orang engga sadar.. emang polisi2 yg jaga demo itu setelah nya dapat apa? dapat jabatan? jd menteri? disaat pajak naik, mereka pun bayar, sama. Bbm naik, mereka juga bayar, sama. Demo rusuh dan dilakukan penertiban, itu tugas yg mau tidak mau, harus mereka lakukan.
Melakukan pengamanan bukan berarti berada dipihak pemerintah, bukan🥺 Kecelakaan saat aksi demonstrasi bukan cuma sipil yg jadi korban, berapa banyak polisi yg juga dipukuli, dikroyok, diludahi, dilecehkan saat berjaga tp yg terUp engga sebanyak kalau sipil yg jd korban.. tp tetap dijalani karena semua resiko pekerjaan, tp yg harus dengan sadar disadari adalah, kita semua ini korban yg diadu domba sama pejabat2 setan itu."
NYAI ᴮᴷ77,mbkri_ris,"mereka bertugas ,yg demo juga bertugas menyuarakan aspirasi , yg di demo sehat"" yg jadi korban pasti aparat dan yg demo 😭🫣🙏"
Anita,carol_ani,"mereka juga gajinya dipotong pajak langsung, tunjanganpun di pajak lagi.
mereka sama dengan rakyat juga . para pendemo beringas. mereka berusaha mengendalikan emosi. tapi terkendala SOP dari atasan ataupun kesatuan.
Menangis untuk Rakyat dan Polisi yang dibenturkan pemerintah 😭😭😭😭"
Arzila,arzilla_r,"Kamu ga sdng mnjalankan tugas bg, tugas kamu lindungi rkyat, bukan pukulin rkyat"
daisyday0_,daisyday0_,"Abangku polisi dia nyeletuk gini sama anknya : “besok cita2nya gausah jdi polisi,cape!! jdi anggota dpr aja” 😭😭😭🙏"
yourday206,yourday206,teman? mereka ngamanin tikus negara bukan rakyatt
Prasetyo,prasetyoajah,"klo yg dilindes , ojol itu trnya tmn nya polisi dia jg jagain demo gmna dpt kabar tmn ya meninggal di lindes mobil BRIMOB ...????"
On Your Zi,on.your.zi,Mereka yg nganggap kita musuhh anj
irpong13Pisces,irpong13,Untung saya batal nikah dengan Polisi kalau nggak anak saya ikut demo pasti di pukulin2 teman2nya...
yoona,yoona8582,polisi juga manusia biasa dan bukan Tuhan
DindaSela,adnidsela,teman pejabat maksudnya 💔
savitricha,savitricha,yg komen baik fix keluarganya 😁
D I A N A,diananuraini07,Kasian banget 😭 mereka jga masyarakat sama sperti kita cuma merka sudah gak bisa bersuara lagi karna tugas dan pekerjaannya
poinkop!,poinkop,maaf ga kenal mereka
020522::,essien54,kasian juga mereka kadang mereka ngelakuin itu karna perintah dari atasan mereka🥲
Yossa,occa_0910,kita ini di adudomba rakyat dgn apart pasti gedung DPR lagi asyik2 😭
DINI,dinsptiani,Dia juga punya keluarga yg menanti nya dirumah dgn keadaan selamat 🥺😭
Unknown,kiyowokejora,Cih
Yuiiii🦀,itsyuiii___,"adikku brimob yg sdang pengmanan😭 ya allah tolong lindungi dia dr smlm blm ada kabar, keluarga nunggu kabarmu dek semoga dalam lindungi allah 🤲"
jarotdramer86,jarotdrmaerot86,gw juga skit hati lihat naik gajih DPR tapi rakyat gajih nya kagak naik2 tapi mau gimna harus terima dan sukuri ajh
Mama A2,weeny06780,"sehat² para polisi&om imob jg dirimu baik² ada keluarga menunggumu d rmh,slm Presisi🙏"
cucu kakek,zozonolozega,dalam harti mereka juga punya keluarga yg menunggu dirumah.punya orang tua.dalam hati mereka juga tidak mau bentrok dengan masyarakat
lala,bitter.sweetholic,"mereka jg pasti ga setuju DPR naik gaji, cuma posisi ny mereka menjalani tugas aja. kadang kasian ngeliat klo ad yg ngehate mereka tuh😞"
thresya1,thresya1,Polisi yg nambrak ojol masa mau di anggep temen .
naraaa,narraaa98,"sebenernya mereka setuju adanya demo,hanya saja mereka harus tetap profesional sebagai polisi"
Zoelkarnaen,zoel__7,merusuhkan kondisi kali bukan mengkondusifkan
Lum lum,lumlum070,biar ada kerjaan.....
anotheronele,anotheronele,Bravo polri terimakasih 🙏🙏
A👀,anmefr,"@ig: cutiejels 💅:jangan sepenuhnya menyalahkan polisi plis, ga semua polisi itu jahat, karna kepulangan mrka juga di tunggu kluarga mereka, mereka juga rakyat biasa,dibalik seragam yg mereka kenakan mereka jg rakyat biasa spt kita, mereka berdiri dibarisan itu karena kewajiban bukan pilihan, hati mereka jg sama rapuh spt kita mereka jg pgn keadilan, mereka hanya terhalang oleh seragam bukan oleh nurani ☹️and then aparat polisi udah muak sama pemerintahannya cuma mereka menjalankan tugas nya dr atasan mereka respect pakk karna disana pejabat nya lagi pada tidur nyenyak santai santai sedangkan mereka turunkan polisi dan aparat lainnya,ada banyak polisi yang nggak ikut terlibat langsung dalam demo itu dan tetap menjalankan tugasnya dengan baik. jadi, penting banget buat kita bedain antara oknum yang salah sama polisi yang benerbener profesional. semoga kasus yang terjadi bisa ditangani transparan adil seadilnya apalagi terkait yang melindas ojol kawal sampe tuntas! , biar kepercayaan masyarakat juga nggak makin hilang,jangan alihkan isu DPR YA cuma karna polisi disalahkan. SEMANGAT BERJUANG SEMUA #BUBARKANDPR #PEMERINTAHANKACAU #DPRGILA #DPRKODIEMAJA? #PEJABATNYALAGITIDURNYENYAK"
bunga,arfyus5,"entahlah sulit, emang ada sebagian yg baik,tapi selebihnya ... ?isi sendiri
masih ingat kan polisi nyiram gas air mata di stadion,"
hestri sastia fardana,mbahesss,narasinya tiap demo “polisi itu sama kayak kita pro rakyat” nyatanya banyak rakyat yg dipukuli
Rizaidan,intanm016,mereka hanya menjalankan tugas
bunda arfa,bundaarfa12,tugas nya jgn melindas lagi ya
momoniceguy,andranotherlife,mereka cuma kehalang kerjaan
dwi.,duwiiiistyrn,"Padahal mereka tidak mau keadaan seperti ini, mereka hanya sedang menjalankan tugas😢"
Raja singkongg,lichyachya7,"Ga semua polisi bener, tapi pasti ada beberapa yang bener"
N,nofyta.andryani,klo polisi teman kita aku lbh milih tidak punya teman.
Fatimah sby,kayriss_hq,teman apa..... ga temanan qt... apalagi klo d jalan ada razia.
Putri lelet,putrileleett,kenapa aparat ga bersatu sama rakyat aja sii kan negaranya udah ga bener🥺
Nadine,naadinnnna5,mrka cuma ngejalanin tugas gasi... mrka jg pngen bersuara tp kehalang seragam..
Wong sabar,wongsabar239,ku pastikan kalo smpek keluargaku ada yg brimob ga bakal aku anggep saudara
Rudicahh,rudicahh,Setidaknya mereka punya kerjaan 🤣
Yg penting nyampe,siapaajaboleh743,Lah terus yang mukul siapa?
Lzura,dvalbrck,"Mereka juga punya keluarga guys, mereka juga masyarakat seperti kitaa cuma jalanin tugas 🥺🥺🥺"
Ien Kartiningsih,ienkartiningsih,sehat2 anak2 hebat ....biar lulusan SMA kalian sdh bisa mandiri tanpa membuat susah orang tua kami bangga nak...kerja sambil kuliah nak...bismillaah di mudahkan semua...polisi hebat di mata bunda 🥰
🩺,xzvycw,kasian ojol di telindes😭
Pahiitttra,pahitraa,Mereka cuma menjalankan perintah 🥺
cici,ciciiii811,MAAP BANGET TEMEN KITA CUMAN ANGGOTA TNI🥰
່,_araaatiaraaa,"seburuk apapun pandangan masyarakat sm polisi, semoga aku bs menggunakan seragam itu jg🤎"
poet,putrieasikin,bukan temen gue
Defris🅰️,dfrs18,Yg punya hajat WFH yg di lapangan di adu domba miris
FROGG⚓,frgg0918,"katanya temen , tapi kok di lindes si pak? why?"
mooz 🍉,nadmooz_,hilih
ebitda,diferensiasi_,mereka sebnarnya juga geram sama pemerintahan yg makin ngelunjak apalagi pas dengar 3jt/hari😌
Rahma 💜,rahma.core,teman teman apaan . dikit2 nyemprot gas airmata ke orng yg lagi berjuang .
ani,ani.susanti727,Ya Allah lindungilah anak2 ku yg lagi bertugas 🤲
iamyournaaa,iamyournaaa,musuh kita sebenarnya adalah DPR dan sebagainya. semangat untuk kita semua.
Dijah01,khodijahramlannew,temen tapi yang versi jahatnya kn kk
pmjj,pmjjjjjj,polri juga manusia
anak.manis18,anak.manis18,Hahahhahaha
Steve Kosasih,steveey_,Bravo Polri🔥🔥
crafteriena,crafteriena,lebih cape yg di bawah uang ny banyak yg di tinggi
ami_room,ami_roomm,😳 teman? big noooo
akademi kripto,crypto08_0,"g kak, temen lu aja karena pacar lu🗿"
"작은, 𝓒𝚢𝚎𝚕𝚊",shanayalavenya,jagaa papaa akuuu ya allah😭
There is no escape!,_roarrrr_3,teman??? krna uang jg gelap mata banyak
ロラニ,rlni_28,tapi kenyang cape juga
nanda tjiu kojongian,nandatjiu,sekarang masih mau blg berteman?
diditata,adtayu,bukan temen gue
Queen,sulastri.sari.putri,kasian sumpahhh🥹🥹
user25288706457996,user25288706457996,sehat sehat sll anak anakku
Zecti,zecti7,bedanya mereka di bayar yg demo gak 😂
Cewek Capri,cewe_capri29,Musuh kita adl eksekutif legislatif yudikatif dan pembantu2 nya eksekutif🔥🔥
seaweed,seaweirrdd,"mereka kalo bisa tidur dirumah, mending tidur dirumah ga panas panasan. orang2 pada mikir apasih heran"
CBR 🇲🇨,zetawingshero,harus nya lu bukain dh tu gerbang dpr bknnya mlh di suruh mundur mw sampe kpn kek gini di permainkan sm pejabat trs??
Tasya🧏‍♀️🪐,siwatasya_,"polisi di 👣
TNI di 💓💓"
zenna_,zenna_59,Temenlu aja sonoo
MAS CHVEE,zhiezhiew,STOP LAH GUYS KALIAN GA KASIAN KAH SAMA APARAT?😹
N,naejmyyy,@kamalia.8 ☹️
Little_girl💕💕💕,deeesiiiiiiiiiiii,🥹
Indahkartikawati,memeyindah,🥲
Syhdaa*•,igsyahdsyrh,🙏🙏🙏
alja's things,oooclock,😁😁😁
saya adalah,gwafinsweet,😂
riniprames,rinipramestinaputri,tapi kalo gak gini dia gak kerja ngopa ngopi di markas aja kalo gini kan kelihatan kerja gak makan gaji buta terus
